mask_type,eta,mask_seed,ridge_alpha,nrmse
two_sine,0.001,2,0.0001,0.7199782516356109
two_sine,0.001,2,0.01,0.9620641538966804
two_sine,0.001,3,0.0,0.799975714999591
two_sine,0.001,3,1e-10,0.747809562149335
two_sine,0.001,3,1e-08,0.6804408090750765
two_sine,0.001,3,1e-06,0.6841390245803383
two_sine,0.001,3,0.0001,0.7199782516356109
two_sine,0.001,3,0.01,0.9620641538966804
two_sine,0.001,4,0.0,0.799975714999591
two_sine,0.001,4,1e-10,0.747809562149335
two_sine,0.001,4,1e-08,0.6804408090750765
two_sine,0.001,4,1e-06,0.6841390245803383
two_sine,0.001,4,0.0001,0.7199782516356109
two_sine,0.001,4,0.01,0.9620641538966804
two_sine,0.003,0,0.0,0.7496109131941852
two_sine,0.003,0,1e-10,0.7463982364103945
two_sine,0.003,0,1e-08,0.7325492351478508
two_sine,0.003,0,1e-06,0.6713419878026667
two_sine,0.003,0,0.0001,0.6955292688294306
two_sine,0.003,0,0.01,0.8144066806340579
two_sine,0.003,1,0.0,0.7496109131941852
two_sine,0.003,1,1e-10,0.7463982364103945
two_sine,0.003,1,1e-08,0.7325492351478508
two_sine,0.003,1,1e-06,0.6713419878026667
two_sine,0.003,1,0.0001,0.6955292688294306
two_sine,0.003,1,0.01,0.8144066806340579
two_sine,0.003,2,0.0,0.7496109131941852
two_sine,0.003,2,1e-10,0.7463982364103945
two_sine,0.003,2,1e-08,0.7325492351478508
two_sine,0.003,2,1e-06,0.6713419878026667
two_sine,0.003,2,0.0001,0.6955292688294306
two_sine,0.003,2,0.01,0.8144066806340579
two_sine,0.003,3,0.0,0.7496109131941852
two_sine,0.003,3,1e-10,0.7463982364103945
two_sine,0.003,3,1e-08,0.7325492351478508
two_sine,0.003,3,1e-06,0.6713419878026667
two_sine,0.003,3,0.0001,0.6955292688294306
two_sine,0.003,3,0.01,0.8144066806340579
two_sine,0.003,4,0.0,0.7496109131941852
two_sine,0.003,4,1e-10,0.7463982364103945
two_sine,0.003,4,1e-08,0.7325492351478508
two_sine,0.003,4,1e-06,0.6713419878026667
two_sine,0.003,4,0.0001,0.6955292688294306
two_sine,0.003,4,0.01,0.8144066806340579
two_sine,0.01,0,0.0,0.7055206223408943
two_sine,0.01,0,1e-10,0.7054974577690623
two_sine,0.01,0,1e-08,0.7080116137316795
two_sine,0.01,0,1e-06,0.7171367451707136
